"seg_id","waterbody","huc_10","basin_name","class","water_type","segment_assessment","use","use_assessment","parameter","grandfathered_from_listings","data_supported","stayCALM_param_eval"
"0402-0032","Honeoye Lake",413000302,"Genesee River","aa","pond","IR5_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0402-0032","Honeoye Lake",413000302,"Genesee River","aa","pond","IR5_impaired","fishing","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","yes","no","unassessed"
"0402-0032","Honeoye Lake",413000302,"Genesee River","aa","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","yes","no","unassessed"
"0402-0032","Honeoye Lake",413000302,"Genesee River","aa","pond","IR5_impaired","primary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","yes","no","impaired-tmdl_confirmed"
"0402-0032","Honeoye Lake",413000302,"Genesee River","aa","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","yes","no","unassessed"
"0402-0032","Honeoye Lake",413000302,"Genesee River","aa","pond","IR5_impaired","secondary_contact_recreation","IR5_impaired_confirmed","dissolved_oxygen; phosphorus","yes","no","impaired-tmdl_confirmed"
"0402-0032","Honeoye Lake",413000302,"Genesee River","aa","pond","IR5_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0402-0032","Honeoye Lake",413000302,"Genesee River","aa","pond","IR5_impaired","source_of_water_supply","IR1_stressed_confirmed","ammonia; chloride","no","yes","stressed_confirmed"
"0403-0002","Silver Lake",413000210,"Genesee River","a","pond","IR4c_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0403-0002","Silver Lake",413000210,"Genesee River","a","pond","IR4c_impaired","fishing","IR1_fully-supported_confirmed","nitrite","no","yes","fully-supported_confirmed"
"0403-0002","Silver Lake",413000210,"Genesee River","a","pond","IR4c_impaired","primary_contact_recreation","IR4a_impaired_confirmed","phosphorus","no","yes","impaired-tmdl_confirmed"
"0403-0002","Silver Lake",413000210,"Genesee River","a","pond","IR4c_impaired","secondary_contact_recreation","IR4c_impaired_confirmed","algal_weed_growth","yes","no","unassessed"
"0403-0002","Silver Lake",413000210,"Genesee River","a","pond","IR4c_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0403-0002","Silver Lake",413000210,"Genesee River","a","pond","IR4c_impaired","source_of_water_supply","IR3_impaired_unconfirmed","ammonia","no","yes","impaired_unconfirmed"
"0403-0024","Rushford Lake",413000206,"Genesee River","b(t)","pond","IR4a_impaired","epa_appended_listing","not-applicable","not-applicable","no","yes","not-applicable"
"0403-0024","Rushford Lake",413000206,"Genesee River","b(t)","pond","IR4a_impaired","fishing","IR4a_impaired_confirmed","mercury","yes","no","unassessed"
"0403-0024","Rushford Lake",413000206,"Genesee River","b(t)","pond","IR4a_impaired","primary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen","no","yes","impaired_unconfirmed"
"0403-0024","Rushford Lake",413000206,"Genesee River","b(t)","pond","IR4a_impaired","secondary_contact_recreation","IR3_impaired_unconfirmed","dissolved_oxygen","no","yes","impaired_unconfirmed"
"0403-0024","Rushford Lake",413000206,"Genesee River","b(t)","pond","IR4a_impaired","shellfishing","not-applicable","not-applicable","no","yes","not-applicable"
"0403-0024","Rushford Lake",413000206,"Genesee River","b(t)","pond","IR4a_impaired","source_of_water_supply","not-applicable","not-applicable","no","yes","not-applicable"
