PWS ID,PWS Name,PWS Type,Primary Source,Counties Served,Cities Served,PopulationServed Count,Number of Facilities,Owner Type
NY2230021,CHAMPION WD 1 (GREAT BEND),Community water system,Ground water purchased,Jefferson,CHAMPION (T),400,2,Local government
NY2230022,"CHAMPION WD 2, 4 & 5",Community water system,Ground water,Jefferson,CHAMPION (T),650,13,Local government
NY0900211,CHAMPLAIN VILLAGE,Community water system,Ground water,Clinton,CHAMPLAIN (V),2947,11,Local government
NY1230026,CHARLOTTE CREEK MHP,Community water system,Ground water,Delaware,DAVENPORT (T),36,3,Private
NY1302126,CHARLOTTE GROVE MOBILE HOME CT,Community water system,Ground water,Dutchess,EAST FISHKILL (T),100,4,Private
NY4503513,CHARLTON WD (GLENVILLE),Community water system,Ground water purchased,Saratoga,CLIFTON PARK (T),2000,4,Local government
NY3905685,CHATEAU RIDGE,Community water system,Ground water,Putnam,CARMEL (T),300,6,Private
NY1600006,CHATEAUGAY V,Community water system,Groundwater under influence of surface water,Franklin,CHATEAUGAY (V),1100,5,Local government
NY1000234,CHATHAM VILLAGE,Community water system,Ground water,Columbia,CHATHAM (V),2156,7,Local government
NY2202350,CHAUMONT VILLAGE,Community water system,Surface water purchased,Jefferson,CHAUMONT (V),625,3,Local government
NY0611655,CHAUTAUQUA ESCAPES,Community water system,Ground water purchased,Chautauqua,NORTH HARMONY (T),100,2,Private
NY0600381,CHAUTAUQUA UTILITY DISTRICT,Community water system,Surface water,Chautauqua,CHAUTAUQUA (T),9000,4,Public/Private
NY0602924,CHAUTAUQUA WATER DISTRICT #2,Community water system,Surface water,Chautauqua,CHAUTAUQUA (T),490,7,Private
NY0930113,CHAZY WATER DISTRICT,Community water system,Ground water,Clinton,,690,10,Local government
NY1320803,CHELSEA COVE HOMES,Community water system,Ground water,Dutchess,BEEKMAN  (T),1450,11,Private
NY1303216,CHELSEA RIDGE APARTMENTS,Community water system,Ground water purchased,Dutchess,WAPPINGER (T),2303,35,Private
NY0301653,CHENANGO CONSOLIDATED WD #1,Community water system,Ground water,Broome,CHENANGO (T),9200,31,Local government
NY0800699,CHENANGO VALLEY MOBILE HOME CT,Community water system,Ground water,Chenango,GREENE (T),63,8,Public/Private
NY2600961,CHENANGO VALLEY MOBILE HOME PARK,Community water system,Ground water,Madison,MADISON (T),50,6,Private
NY0600358,CHERRY CREEK TOWN,Community water system,Ground water,Chautauqua,CHERRY CREEK (V),440,9,Local government
NY5530046,CHERRY HILL WATER DISTRICT,Community water system,Surface water purchased,Ulster,ULSTER (T),280,4,Local government
NY4800726,CHERRY LANE MOBILE HOME PARK,Community water system,Ground water,Schuyler,DIX (T),111,5,Private
NY3800144,CHERRY VALLEY VILLAGE,Community water system,Ground water,Otsego,CHERRY VALLEY (V),620,5,Local government
NY3503524,CHESTER VILLAGE,Community water system,Surface water,Orange,CHESTER (V),3448,8,Local government
NY0930165,CHESTERFIELD WATER DISTRICT,Community water system,Surface water purchased,Clinton,"AUSABLE (T), KEESEVILLE (V)",900,2,Local government
NY1500283,CHESTERFIELD WD,Community water system,Surface water,Essex,CHESTERFIELD (T),2300,12,Local government
NY5600102,CHESTERTOWN WATER DISTRICT,Community water system,Ground water,Warren,CHESTER (T),750,7,Local government
NY0320870,CHOCONUT CENTER WATER IMP. #1,Community water system,Ground water purchased,Broome,UNION (T),499,2,Local government
NY4410170,CHURCH CREEK MOBILE HOME COMMUNITY,Community water system,Ground water,St. Lawrence,CANTON (T),150,7,Private
NY1101753,CINCINNATUS WATER DISTRICT,Community water system,Ground water,Cortland,CINCINNATUS (T),650,11,Local government
NY1400840,CIRCLE B TRAILER COURT,Community water system,Ground water,Erie,WALES (T),35,7,Private
NY1400841,CIRCLE COURT MOBILE PARK,Community water system,Groundwater under influence of surface water,Erie,WALES (T),90,11,Private
NY5000750,"CIRCLE DRIVE PARK, LLC",Community water system,Ground water,Steuben,WAYLAND (T),55,4,Private
NY3630023,CLARENDON TOWN WDS,Community water system,Surface water purchased,Orleans,CLARENDON (T),2482,4,Local government
NY4410159,CLARKS TRAILER PARK,Community water system,Ground water,St. Lawrence,CANTON (T),50,7,Private
NY0130000,CLARKSVILLE WATER DISTRICT,Community water system,Groundwater under influence of surface water,Albany,NEW SCOTLAND (T),430,4,Local government
NY1030223,CLAVERACK WATER DISTRICT,Community water system,Ground water purchased,Columbia,CLAVERACK (T),200,3,Local government
NY3304344,CLAY WDS,Community water system,Surface water purchased,Onondaga,CLAY (T),16000,2,Local government
NY2202335,CLAYTON VILLAGE,Community water system,Surface water,Jefferson,CLAYTON (V),2100,5,Local government
NY3203520,CLAYVILLE VILLAGE,Community water system,Ground water,Oneida,CLAYVILLE (V),445,14,Local government
NY3903709,CLEARING IN THE WOODS,Community water system,Ground water,Putnam,CARMEL (T),162,6,Private
NY3704353,CLEVELAND VILLAGE,Community water system,Ground water,Oswego,CLEVELAND (V),925,6,Public/Private
NY0900218,CLIFF HAVEN WD,Community water system,Ground water purchased,Clinton,PLATTSBURGH (T),735,3,Local government
NY4500175,CLIFTON PARK WATER AUTHORITY,Community water system,Surface water purchased,Saratoga,CLIFTON PARK (T),39060,110,Public/Private
NY3401154,CLIFTON SPRINGS VILLAGE,Community water system,Surface water purchased,Ontario,CLIFTON SPRINGS (V),2190,10,Local government
NY0904192,CLINTON CORRECTIONAL FACILITY,Community water system,Ground water,Clinton,DANNEMORA (V),4900,15,State government
NY3202386,CLINTON VILLAGE,Community water system,Ground water,Oneida,"CLINTON (V), KIRKLAND (T)",3000,16,Local government
NY1303217,CLOVE BRANCH APARTMENTS,Community water system,Ground water,Dutchess,EAST FISHKILL (T),50,3,Private
NY5421825,CLOVERLAND MHP,Community water system,Ground water,Tompkins,NEWFIELD (T),55,8,Private
NY5801228,CLYDE VILLAGE,Community water system,Ground water,Wayne,CLYDE (V),2269,8,Local government
