"","LAKE_HISTORY_ID","waterbody","LOCATION_PWL_ID","PWS.ID","PWS.Name","PWS.Type","Primary.Source","Counties.Served","Cities.Served","PopulationServed.Count","Number.of.Facilities","Owner.Type"
"47","0300ONT0000","Henderson Bay","0303-0022","NY2230027","HENDERSON TOWN WD 1,2","Community water system","Surface water","Jefferson","HENDERSON (T)","700","4","Local government"
"48","1202TAN0655A","Onteora Pond/Tannersville Reservoirs","1202-0069","NY1900033","TANNERSVILLE VILLAGE","Community water system","Surface water","Greene","HUNTER (T), TANNERSVILLE (V)","629","12","Local government"
"49","0300ONT0000","Henderson Bay","0303-0022","NY2211794","KRING POINT STATE PARK","Transient non-community system","Surface water","Jefferson","ALEXANDRIA (T)","600","6","State government"
"50","0300ONT0000","Henderson Bay","0303-0022","NY2220914","WELLESLEY ISLAND WATER CORP.","Community water system","Surface water","Jefferson","ALEXANDRIA (T)","548","5","Private"
"51","0300ONT0000","Henderson Bay","0303-0022","NY2211797","SOUTHWICK BEACH STATE PARK","Transient non-community system","Surface water","Jefferson","ELLISBURG (T)","520","7","State government"
"52","1311DEL0292","Delanson Reservoir","1311-0023","NY4600064","DELANSON VILLAGE WATER WORKS","Community water system","Surface water","Schenectady","DELANSON (V)","428","10","Local government"
"53","0300ONT0000","Henderson Bay","0303-0022","NY4404391","MORRISTOWN WATER DISTRICT","Community water system","Surface water","St. Lawrence","MORRISTOWN (V)","395","5","Local government"
"54","0300ONT0000","Henderson Bay","0303-0022","NY2211795","LONG POINT STATE PARK - JEFFERSON CTY","Transient non-community system","Surface water","Jefferson","LYME (T)","360","10","State government"
"55","0300ONT0000","Henderson Bay","0303-0022","NY2230097","ASSOCIATION ISLAND R.V. RESORT &MARINA","Transient non-community system","Surface water","Jefferson","HENDERSON (T)","307","12","Private"
"56","0300ONT0000","Henderson Bay","0303-0022","NY2208618","KRINGS TRAILER PARK","Transient non-community system","Surface water","Jefferson","ALEXANDRIA (T)","300","9","Private"
"57","0300ONT0000","Henderson Bay","0303-0022","NY2208811","BIRCH HAVEN CAMPGROUND","Transient non-community system","Surface water","Jefferson","CLAYTON (T)","200","16","Private"
"58","0300ONT0000","Henderson Bay","0303-0022","NY4421262","NEW YORK POWER AUTHORITY","Non-Transient non-community system","Surface water","St. Lawrence","MASSENA (T)","200","4","State government"
"59","0300ONT0000","Henderson Bay","0303-0022","NY2211789","CANOE-PICNIC POINT STATE PARK","Transient non-community system","Surface water","Jefferson","ALEXANDRIA BAY (V)","175","4","State government"
"60","0300ONT0000","Henderson Bay","0303-0022","NY2213150","SHANGRI-LA CAMPGROUND","Transient non-community system","Surface water","Jefferson","LYME (T)","150","12","Private"
"61","0601OTS0404","Otsego Lake","0601-0033","NY3813664","THREE MILE POINT","Transient non-community system","Surface water","Otsego","OTSEGO (T)","150","5","Local government"
"62","0300ONT0000","Henderson Bay","0303-0022","NY2208203","LANZS MOTEL INC.","Transient non-community system","Surface water","Jefferson","CLAYTON (T)","148","9","Private"
"63","0300ONT0000","Henderson Bay","0303-0022","NY2208814","ROOSEVELT TRAILER PARK/COT.","Transient non-community system","Surface water","Jefferson","CLAYTON (T)","132","18","Private"
"64","1311THO0274","Thompsons Lake","1311-0007","NY0118342","JOHN BOYD THATCHER STATE PARK","Transient non-community system","Surface water","Albany","BERNE (T), NEW SCOTLAND (T)","100","6","State government"
"65","0905CRA0309","Cranberry Lake","0905-0007","NY4411830","SUNY ESF RANGER SCHOOL","Non-Transient non-community system","Surface water","St. Lawrence","FINE (T)","100","6","State government"
"66","0300ONT0000","Henderson Bay","0303-0022","NY2213144","WILLOWS ON THE LAKE","Transient non-community system","Surface water","Jefferson","HENDERSON (T)","90","10","Private"
"67","0601OTS0404","Otsego Lake","0601-0033","NY3807994","OTSEGO LAKE BAYSIDE MOTOR INN","Transient non-community system","Surface water","Otsego","SPRINGFIELD (T)","84","12","Private"
"68","0300ONT0000","Henderson Bay","0303-0022","NY2219170","GUFFIN BAY RESORT & MARINA","Transient non-community system","Surface water","Jefferson","LYME (T)","60","13","Private"
"69","0601OTS0404","Otsego Lake","0601-0033","NY3807993","LAKE N PINES MOTEL, INC.","Transient non-community system","Surface water","Otsego","SPRINGFIELD (T)","58","11","Private"
"70","0300ONT0000","Henderson Bay","0303-0022","NY2211796","MARY ISLAND STATE PARK","Transient non-community system","Surface water","Jefferson","ALEXANDRIA BAY (V)","50","12","State government"
"71","0300ONT0000","Henderson Bay","0303-0022","NY4425001","REYNOLDS METALS COMPANY-ALCOA EAST","Non-Transient non-community system","Surface water","St. Lawrence","MASSENA (T)","50","8","Private"
"72","0601OTS0404","Otsego Lake","0601-0033","NY3821952","BLUE MINGO GRILL","Transient non-community system","Surface water","Otsego","OTSEGO (T)","40","3","Private"
"73","0300ONT0000","Henderson Bay","0303-0022","NY2208212","ONTARIO SHORES T/P & MARINA","Transient non-community system","Surface water","Jefferson","CAPE VINCENT (T)","39","8","Private"
"74","0300ONT0000","Henderson Bay","0303-0022","NY2230111","US COAST GUARD - WELLESLEY ISLAND","Non-Transient non-community system","Surface water","Jefferson","","29","7","Federal government"
"75","0300ONT0000","Henderson Bay","0303-0022","NY2230004","TIBA -U.S. CUSTOMS","Non-Transient non-community system","Surface water","Jefferson","ALEXANDER (T)","25","4","Local government"
"76","0300ONT0000","Henderson Bay","0303-0022","NY2230124","ROCK ISLAND LIGHTHOUSE STATE PARK","Transient non-community system","Surface water","Jefferson","ORLEANS (T)","25","5","State government"
"77","0300ONT0000","Henderson Bay","0303-0022","NY4430161","SINGER CASTLE","Transient non-community system","Surface water","St. Lawrence","HAMMOND (T)","25","5","Private"
"78","0300ONT0000","Henderson Bay","0303-0022","NY2202072","","","","","","","",""
"79","0601OTS0404","Otsego Lake","0601-0033","NY3830149","","","","","","","",""
"80","1104ROU0137","Round Lake","1104-0115","","","","","","","","",""
"81","0601WIL0297","Wilber Lake","0601-0098","","","","","","","","",""
"82","1000CHA0001","Lake Champlain, Main Lake, North","1000-0001","","","","","","","","",""
"83","1000CHA0001","Lake Champlain, Main Lake, South","1000-0003","","","","","","","","",""
"84","1202TAN0655B","Onteora Pond/Tannersville Reservoirs","1202-0069","","","","","","","","",""
"85","1000CHA0001","Lake Champlain, Main Lake, Middle","1000-0002","","","","","","","","",""
"86","1307KIN0837A","Kingston Reservoir 4","1307-0021","","","","","","","","",""
"87","0602UWB0108","Norwich Reservoirs","0602-0010","","","","","","","","",""
"88","1000CHA0001","Willsboro Bay","1001-0015","","","","","","","","",""
"89","1404STA0462","Stamford Reservoir","1404-0090","","","","","","","","",""
"90","1303UPP0223","Upper Reservoir","1301-0182","","","","","","","","",""
"91","1104GOO0442","Gooseneck Pond","1104-0236","","","","","","","","",""
"92","1311DUA0290","Duanesburg Reservoir","1311-0022","","","","","","","","",""
